time,temperature_2m_max,temperature_2m_mean,temperature_2m_min,dew_point_2m_max,dew_point_2m_mean,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_mean,relative_humidity_2m_min,surface_pressure_max,surface_pressure_mean,surface_pressure_min,wind_speed_10m_max,wind_speed_10m_mean,wind_speed_10m_min,precipitation_sum
2006-01-01,29.4,27.4,25.9,25.1,24.6,23.7,93,85,72,1010.0,1007.8,1005.7,15.1,10.4,6.9,0.6
2006-01-02,31.0,27.8,26.1,25.0,24.4,23.8,90,82,67,1009.9,1007.5,1005.0,16.8,12.3,8.9,1.1
2006-01-03,31.1,27.9,26.1,24.9,24.3,23.2,92,82,63,1008.8,1006.7,1004.8,19.1,13.9,9.3,0.8
2006-01-04,30.2,27.7,26.1,24.5,24.0,23.4,90,81,67,1007.6,1005.8,1003.6,16.6,13.9,11.2,1.4
2006-01-05,30.0,27.4,25.5,24.6,24.3,23.8,92,83,69,1007.7,1005.6,1003.6,16.1,10.6,4.1,0.8
2006-01-06,30.3,27.6,25.7,24.3,24.1,23.6,92,82,70,1008.1,1006.4,1004.9,14.7,9.7,5.9,1.3
2006-01-07,29.0,27.0,25.9,24.4,24.0,23.5,90,84,76,1009.4,1007.3,1005.2,13.3,10.6,6.8,4.7
2006-01-08,29.7,27.2,25.9,24.4,24.1,23.2,91,83,71,1009.1,1007.1,1005.2,15.9,13.5,10.1,2.1
2006-01-09,30.2,27.5,26.0,24.3,23.9,23.4,90,81,69,1010.1,1008.2,1006.2,17.7,14.8,11.5,1.5
2006-01-10,28.9,27.3,26.0,24.5,24.1,23.8,89,83,74,1010.6,1008.7,1007.0,17.4,12.8,7.4,1.8
2006-01-11,30.0,27.5,25.9,24.7,24.4,24.3,92,84,73,1010.8,1008.8,1006.6,16.4,11.0,6.1,1.7
2006-01-12,29.3,27.1,25.4,24.6,24.2,23.5,92,84,72,1011.2,1009.5,1007.8,16.4,11.6,8.8,3.9
2006-01-13,28.8,27.2,25.5,24.6,24.2,23.8,93,84,75,1011.8,1009.9,1007.9,16.5,12.0,9.2,2.4
2006-01-14,29.5,27.1,25.5,24.6,24.3,23.8,94,85,72,1011.5,1009.7,1007.8,15.9,10.4,4.1,2.6
2006-01-15,29.5,26.9,24.9,24.6,24.2,23.6,94,86,72,1010.9,1008.9,1007.0,12.9,8.8,5.0,1.5
2006-01-16,30.0,27.3,25.4,24.9,24.5,23.9,94,85,71,1010.6,1008.3,1006.3,15.9,10.9,6.6,0.4
2006-01-17,29.6,27.2,25.6,24.6,24.3,23.8,93,84,74,1009.3,1007.7,1005.8,16.7,14.6,12.8,1.8
2006-01-18,29.5,27.0,25.7,24.5,24.2,23.7,93,85,74,1009.8,1007.6,1004.6,15.8,12.4,9.2,0.3
2006-01-19,30.5,27.3,25.7,24.6,24.2,23.7,92,83,69,1008.6,1006.5,1004.0,18.1,13.4,10.2,0.4
2006-01-20,28.9,27.1,26.0,24.9,24.2,23.5,92,84,73,1009.3,1007.4,1005.5,17.1,12.4,6.2,1.5
2006-01-21,30.1,27.5,26.2,25.0,24.7,24.1,93,85,73,1010.3,1008.0,1006.1,15.3,11.9,9.0,1.3
2006-01-22,30.3,27.8,26.4,25.1,24.8,24.3,92,84,73,1010.1,1007.8,1005.6,17.6,13.7,7.6,1.1
2006-01-23,30.4,28.0,26.3,25.0,24.7,24.2,92,83,70,1009.3,1007.3,1005.7,14.8,12.4,10.0,1.0
2006-01-24,31.1,28.2,26.7,25.2,24.8,24.1,90,82,70,1010.4,1008.1,1006.3,20.3,15.2,10.1,1.0
2006-01-25,31.4,28.0,26.0,25.0,24.6,24.0,92,82,65,1010.2,1008.1,1006.1,21.9,17.3,14.4,3.3
2006-01-26,30.4,27.9,26.4,25.1,24.7,24.1,92,83,71,1010.4,1009.1,1007.1,17.9,13.0,10.2,1.3
2006-01-27,29.7,27.1,26.3,25.0,24.6,24.1,91,86,76,1012.0,1009.9,1008.0,16.6,13.6,8.9,7.7
2006-01-28,29.4,27.0,25.7,24.9,24.3,23.7,92,86,75,1012.2,1010.2,1008.0,14.8,11.7,7.5,5.2
2006-01-29,30.2,27.5,25.8,25.0,24.8,24.5,93,85,74,1011.6,1009.7,1007.5,18.1,12.6,7.5,1.0
2006-01-30,29.8,27.6,26.1,24.9,24.6,24.1,92,84,73,1011.2,1008.9,1006.2,17.5,14.4,12.4,0.9
